date,grid_0,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8
02 Jul 19:00,0.367599366828,0.37057932773,0.377763555615,0.369030794962,0.373337450776,0.381987575788,0.373125884057,0.386277222858,0.392858485768
02 Jul 20:00,0.362447824551,0.363861396407,0.369960625431,0.361923238859,0.363183652542,0.370313335131,0.362451795861,0.359718017469,0.370140541444
02 Jul 21:00,0.373344541362,0.374034333742,0.379634174935,0.372673200331,0.372936581546,0.379674501544,0.372625637484,0.366576908817,0.379035402717
02 Jul 22:00,0.379034554545,0.378943206354,0.384245095077,0.378257728197,0.377527793216,0.384044504166,0.377944685585,0.369703888891,0.383268254592
02 Jul 23:00,0.368666523872,0.367817817537,0.37297350929,0.367707347771,0.366060857235,0.372485050976,0.367403566743,0.357684456364,0.371826068466
03 Jul 00:00,0.361808527992,0.360526624866,0.365435539339,0.360846274082,0.358719435641,0.364870898049,0.360602293543,0.350421661283,0.36434601666
03 Jul 01:00,0.355382430416,0.353755908502,0.35850894454,0.354263066989,0.351687146973,0.357721820372,0.353823067296,0.342763188862,0.357065837136
03 Jul 02:00,0.346688924958,0.344821344157,0.349447368655,0.345330437012,0.342364094272,0.348359254075,0.344435131413,0.332112962691,0.347305706227
03 Jul 03:00,0.31332660944,0.311269753671,0.315807405715,0.311728988014,0.308456637065,0.314432397917,0.310524474651,0.297311098085,0.313113502011
03 Jul 04:00,0.272184206014,0.270131258692,0.274468279163,0.270578846388,0.267326925751,0.27306167488,0.269425911167,0.256563480696,0.271811818738
03 Jul 05:00,0.277949570259,0.276816857082,0.280145727453,0.277569949116,0.275803203542,0.280010407463,0.277106497358,0.269071684596,0.279395569237
03 Jul 06:00,0.352195066751,0.352199103739,0.354310703356,0.356482349791,0.357532436062,0.358906427361,0.363881143367,0.376755540094,0.365714025768
03 Jul 07:00,0.425062234082,0.426678292955,0.42706856537,0.432765025456,0.436527314678,0.434993342501,0.443940638653,0.467905476109,0.444272710998
03 Jul 08:00,0.514963572687,0.518132275439,0.517141534421,0.525889997092,0.532115332732,0.528311861337,0.541447400489,0.574843950923,0.539818012561
03 Jul 09:00,0.538802231273,0.54071681393,0.540705328164,0.550296849439,0.555043201353,0.551635882481,0.574673472828,0.612542527173,0.566748709837
03 Jul 10:00,0.538032832214,0.538410236553,0.539697112088,0.549942678187,0.552665192154,0.549584164411,0.590191533195,0.634275298101,0.5690912624
03 Jul 11:00,0.526958013837,0.527513606808,0.528655705986,0.542597864602,0.546359472743,0.540458853964,0.610910790674,0.682241568617,0.569593392855
03 Jul 12:00,0.568932807603,0.572350406638,0.570792203102,0.590465787038,0.602881132159,0.58996211378,0.687231027104,0.841904416056,0.635615072393
03 Jul 13:00,0.714091664444,0.724813397554,0.718361533318,0.741908071749,0.766802745244,0.747026555555,0.839657042049,1.07461588649,0.812537762159
03 Jul 14:00,0.867703824969,0.880155996607,0.875039394824,0.895714148992,0.929602018609,0.909603491267,0.969026407824,1.27606646066,1.01778686227
03 Jul 15:00,0.849744493334,0.859123006316,0.859738383919,0.870827084978,0.899058220558,0.892504902554,0.912231083957,1.20285863590,1.04730146293
03 Jul 16:00,0.596505196155,0.600054139733,0.607417014107,0.604825486107,0.6215673965,0.636171373622,0.629241784855,0.977416966683,0.933225430947
03 Jul 17:00,0.482105260926,0.485470355699,0.49243447525,0.488923212174,0.501468292536,0.5167094556,0.505711049496,0.630099160739,0.73383815587
03 Jul 18:00,0.447213632106,0.451020528473,0.456894366995,0.453140816975,0.46188120243,0.472496118838,0.465077903274,0.521805051767,0.684114654359
03 Jul 19:00,0.497279937405,0.499400049202,0.503305386818,0.4987483422,0.501919016004,0.507470453087,0.50165906396,0.514300716095,0.520155383446
03 Jul 20:00,0.457121679784,0.458164691166,0.461079244749,0.456345266893,0.456865592867,0.460671177304,0.454741310322,0.449787199911,0.458802946292
03 Jul 21:00,0.352307052292,0.352617044062,0.355633305807,0.350529618529,0.349792306511,0.354082562508,0.347699172632,0.337645712612,0.35103401438
03 Jul 22:00,0.202379639407,0.202971576934,0.205203523596,0.201074919835,0.200655070098,0.204054627747,0.197748173679,0.18774843769,0.200552640162
03 Jul 23:00,0.122613388273,0.123726318127,0.125003154743,0.122158116065,0.122480011248,0.124664252081,0.118609657318,0.110149946985,0.120957713341
04 Jul 00:00,0.0717882235635,0.0732932370633,0.0738288332775,0.0720213386175,0.0729315966584,0.0741516727471,0.0683427249688,0.0612641508249,0.0703286189689
04 Jul 01:00,0.0117620812791,0.0133690442455,0.0135223229852,0.0122430157259,0.0132945378446,0.0140606595476,0.00829948301488,0.00138528367052,0.00999959437519
04 Jul 02:00,-0.0721706187547,-0.0705030614754,-0.0706218587492,-0.071561586617,-0.0704360486525,-0.0699826046157,-0.0756862306951,-0.0825303268233,-0.0742034772698
04 Jul 03:00,-0.140227908593,-0.138326380611,-0.138821108524,-0.139343449013,-0.137917210332,-0.137923656726,-0.143661022633,-0.150028440292,-0.142330178093
04 Jul 04:00,-0.215240870083,-0.213257733011,-0.213949796593,-0.214271279547,-0.212753757167,-0.212984109435,-0.218757242209,-0.225066632682,-0.217547118613
04 Jul 05:00,-0.299927168654,-0.297370687904,-0.298691570288,-0.298161149359,-0.295705533613,-0.296898667213,-0.302191848456,-0.30538860509,-0.301040627265
04 Jul 06:00,-0.303450086138,-0.299749314991,-0.302301514959,-0.296701146531,-0.291268421224,-0.29551799863,-0.291913736423,-0.272864481094,-0.291583740754
04 Jul 07:00,-0.0733340176806,-0.0674577125908,-0.0721402257749,-0.062281484709,-0.053290703119,-0.0610681291012,-0.052762516161,-0.0192954964114,-0.0538523805578
04 Jul 08:00,0.26841361791,0.274974434781,0.269481509185,0.282537519012,0.293039683093,0.28329857413,0.298358658298,0.34122720087,0.293523653363
04 Jul 09:00,0.392353776931,0.397415979061,0.393347398538,0.406223621391,0.414709125638,0.406525612765,0.426456832979,0.467764457978,0.417996543838
04 Jul 10:00,0.452339241564,0.457252805073,0.45316707389,0.467522206411,0.475459896873,0.46674975313,0.494034913277,0.537629780192,0.478818247105
04 Jul 11:00,0.490490697746,0.496858020696,0.491501789196,0.510285701484,0.521545844155,0.508597015158,0.565030126655,0.632958939519,0.530614383658
04 Jul 12:00,0.582552822772,0.59063963198,0.582944688592,0.60590160254,0.624581836063,0.60552337094,0.692854571875,0.853319842114,0.642108343061
04 Jul 13:00,0.706134308011,0.719675540723,0.709639675679,0.734810847556,0.762639515777,0.739646671131,0.835204941768,1.08038179280,0.802384968237
04 Jul 14:00,0.839712884133,0.855231933338,0.847383955942,0.868876375551,0.907021044148,0.88326726648,0.945671157303,1.27832358175,0.997999150543
04 Jul 15:00,0.910191678146,0.926603567108,0.921885235188,0.940290573626,0.977736070434,0.961131962783,0.98726493813,1.35964530498,1.16449645918
04 Jul 16:00,0.786769149147,0.799436092995,0.80175913664,0.806035709878,0.838358690851,0.854506391618,0.842023587683,1.79264953716,1.74999481044
04 Jul 17:00,0.523494546067,0.532750399475,0.540895143719,0.53641820378,0.561299552996,0.586007074401,0.557269518219,0.777085940468,1.28489630744
04 Jul 18:00,0.403267197733,0.409703915566,0.420560994318,0.410480914096,0.42288567529,0.440963395536,0.423760262637,0.486061742457,0.882143350743
04 Jul 19:00,0.331581832192,0.334189143008,0.341361577327,0.332742582977,0.33653466381,0.345910252711,0.336433576744,0.348863042886,0.360212787938
04 Jul 20:00,0.272538204975,0.273293107204,0.278440831583,0.271466886296,0.271501104206,0.277971903109,0.270084974835,0.262197809323,0.276127662862
04 Jul 21:00,0.140134464075,0.13931355615,0.144415805211,0.138046807329,0.135834234292,0.142681153844,0.1357703214,0.121285182417,0.140115270896
04 Jul 22:00,-0.0262471965152,-0.0275257830764,-0.0233107412613,-0.0278823310528,-0.0306226758391,-0.0247521812023,-0.0303830611969,-0.0459430992589,-0.0274083798782
04 Jul 23:00,-0.117308269729,-0.118528262794,-0.115432467629,-0.118011419142,-0.120516421258,-0.116044869477,-0.120561498625,-0.135135161693,-0.118667843094
05 Jul 00:00,-0.210869468457,-0.21230500068,-0.209795298429,-0.211279093246,-0.21403170356,-0.210208160871,-0.214281464794,-0.229518741888,-0.213194096272
