0,1,2,3,4,5,6,7,8,hoy
-1.7802663,-1.7818561,-1.7579451,-1.7630646,-1.7784274,-1.7612607,-1.7550077,-1.815196,-1.7751307,3123
-1.7623837,-1.7457736,-1.7575098,-1.7775737,-1.740948,-1.7077618,-1.7704369,-1.7390456,-1.7114855,2142
-2.4666839,-2.4666462,-2.477397,-2.4687526,-2.4615147,-2.4716775,-2.4787817,-2.4896758,-2.4738488,8469
0.04886064,-0.021124795,0.019091114,-0.13692376,0.030590087,0.06833888,-0.21104376,-0.22706404,-0.020901792,2614
-0.344077,-0.33016372,-0.35075498,-0.20235872,-0.24217278,-0.35543028,0.22109932,0.33620095,-0.36081168,6875
-1.2606179,-1.241117,-1.2700808,-1.2687948,-1.2639052,-1.2992665,-1.2616578,-1.2308817,-1.2692556,4949
-2.4617436,-2.4527543,-2.4683485,-2.4839573,-2.461722,-2.4577625,-2.502113,-2.5146558,-2.4439046,1057
-1.018063,-1.0246923,-0.98344034,-1.0216573,-1.0151788,-1.0298052,-0.9807293,-0.9989429,-1.0124195,5976
0.047106832,0.041707262,0.05330248,0.038544416,0.047624826,0.06600674,0.012763739,0.021611385,0.0334657,5564
-1.5619063,-1.5847459,-1.579342,-1.5872425,-1.56001,-1.549734,-1.5385985,-1.6053292,-1.5857629,7932
-2.3091612,-2.2906718,-2.3058698,-2.2986333,-2.302129,-2.304436,-2.3113253,-2.319227,-2.3014972,8158
-0.6201478,-0.6468274,-0.6493334,-0.6617719,-0.6378079,-0.6379177,-0.6727003,-0.7204696,-0.6657326,5303
0.44618323,0.45838398,0.46553016,0.44404116,0.47615224,0.51411957,0.46690643,0.57841897,0.5439842,4838
0.18802902,0.1676144,0.18442918,0.17234308,0.17738561,0.1797395,0.21549904,0.14852665,0.1213897,4629
-2.1704097,-2.1356146,-2.1497338,-2.1327949,-2.1367154,-2.1588483,-2.1552124,-2.1862373,-2.1678116,2399
-1.5915269,-1.6052883,-1.5947659,-1.5758785,-1.5922467,-1.6119093,-1.4552035,-1.6174554,-1.5939962,921
-1.40538,-1.4046321,-1.4106216,-1.4014035,-1.415846,-1.4062879,-1.3871267,-1.4506228,-1.4214109,7448
-2.5060234,-2.5123932,-2.523393,-2.5171413,-2.5127187,-2.504062,-2.5395553,-2.5243258,-2.5166607,748
-1.113399,-1.081363,-1.0740058,-1.1143074,-1.0949517,-1.0323744,-1.1027622,-1.0725844,-1.0498581,1746
-2.007817,-2.0000587,-2.0081131,-2.01914,-2.0041704,-1.9956487,-2.0531754,-2.0505543,-2.0091817,7533
